sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
11823_2015_hybrid,11823,International Journal of Food Sciences and Nutrition,International Journal of Food Sciences and Nutrition,0963-7486,1465-3478,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: newer,2950,2950,Matthias: newer,backfilled 2016 fee
11823_2016_hybrid,11823,International Journal of Food Sciences and Nutrition,International Journal of Food Sciences and Nutrition,0963-7486,1465-3478,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11823_2017_hybrid,11823,International Journal of Food Sciences and Nutrition,International Journal of Food Sciences and Nutrition,0963-7486,1465-3478,Taylor & Francis,hybrid,2017,8,23600,2950,Matthias: actual,23600,2950,Matthias: actual,
11823_2018_hybrid,11823,International Journal of Food Sciences and Nutrition,International Journal of Food Sciences and Nutrition,0963-7486,1465-3478,Taylor & Francis,hybrid,2018,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11825_2015_hybrid,11825,International Journal of Forensic Mental Health,International Journal of Forensic Mental Health,1499-9013,1932-9903,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11825_2016_hybrid,11825,International Journal of Forensic Mental Health,International Journal of Forensic Mental Health,1499-9013,1932-9903,Taylor & Francis,hybrid,2016,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11826_2017_hybrid,11826,International Journal of Forest Engineering,International Journal of Forest Engineering,1494-2119,1913-2220,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11834_2015_hybrid,11834,International Journal of General Systems,International Journal of General Systems,0308-1079,1563-5104,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
11837_2016_hybrid,11837,International Journal of Geographical Information Science,International Journal of Geographical Information Science,1365-8816,1362-3087,Taylor & Francis,hybrid,2016,9,26550,2950,Matthias: actual,26550,2950,Matthias: actual,
11837_2017_hybrid,11837,International Journal of Geographical Information Science,International Journal of Geographical Information Science,1365-8816,1362-3087,Taylor & Francis,hybrid,2017,10,29500,2950,Matthias: actual,29500,2950,Matthias: actual,
11837_2018_hybrid,11837,International Journal of Geographical Information Science,International Journal of Geographical Information Science,1365-8816,1362-3087,Taylor & Francis,hybrid,2018,10,29500,2950,Matthias: actual,29500,2950,Matthias: actual,
11845_2017_hybrid,11845,International Journal of Green Energy,International Journal of Green Energy,1543-5075,1543-5083,Taylor & Francis,hybrid,2017,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
11862_2016_hybrid,11862,International Journal of Heritage Studies,International Journal of Heritage Studies,1352-7258,1470-3610,Taylor & Francis,hybrid,2016,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
