sourceid-year-oa,source_id,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
532_2015_hybrid,532,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,3.2,5000,16000
532_2016_hybrid,532,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,3.2,5000,16000
16231_2018_hybrid,16231,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
16224_2015_hybrid,16224,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4430_2015_hybrid,4430,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
16222_2016_hybrid,16222,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4422_2015_hybrid,4422,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
16220_2017_hybrid,16220,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
16225_2015_hybrid,16225,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4434_2015_hybrid,4434,Elsevier,2015,hybrid,NATURAL SCIENCES,3,5000,15000
4422_2015_hybrid,4422,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,3,5000,15000
4430_2015_hybrid,4430,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,3,5000,15000
10716_2015_hybrid,10716,Elsevier,2015,hybrid,NATURAL SCIENCES,2,5000,10000
16222_2017_hybrid,16222,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,5000,10000
16224_2017_hybrid,16224,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,5000,10000
12939_2017_hybrid,12939,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,5000,6666.666667
16224_2016_hybrid,16224,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,5000,5000
5134_2017_hybrid,5134,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,5000,5000
12939_2017_hybrid,12939,Elsevier,2017,hybrid,NATURAL SCIENCES,0.666666667,5000,3333.333333
16219_2017_hybrid,16219,Elsevier,2017,hybrid,NATURAL SCIENCES,0.5,5000,2500
8250_2017_hybrid,8250,Taylor & Francis,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3,4800,14400
8253_2016_hybrid,8253,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,4800,9600
8249_2016_hybrid,8249,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,4800,4800
8250_2016_hybrid,8250,Taylor & Francis,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,4800,4800
16223_2015_gold,16223,Elsevier,2015,gold,MEDICAL AND HEALTH SCIENCES,56,4750,266000
1580_2017_hybrid,1580,Wiley,2017,hybrid,NATURAL SCIENCES,236,4500,1062000
1580_2018_hybrid,1580,Wiley,2018,hybrid,NATURAL SCIENCES,216,4500,972000
6576_2018_hybrid,6576,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,131,4500,589500
556_2016_gold,556,Wiley,2016,gold,ENGINEERING AND TECHNOLOGY,99.33333333,4500,447000
17707_2017_hybrid,17707,Wiley,2017,hybrid,NATURAL SCIENCES,76,4500,342000
556_2015_gold,556,Wiley,2015,gold,ENGINEERING AND TECHNOLOGY,76,4500,342000
6576_2017_hybrid,6576,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,60,4500,270000
17707_2016_hybrid,17707,Wiley,2016,hybrid,NATURAL SCIENCES,56,4500,252000
9223_2017_hybrid,9223,Wiley,2017,hybrid,NATURAL SCIENCES,53,4500,238500
6576_2016_hybrid,6576,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,51,4500,229500
556_2016_gold,556,Wiley,2016,gold,NATURAL SCIENCES,49.66666667,4500,223500
9825_2016_hybrid,9825,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,43,4500,193500
9825_2017_hybrid,9825,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,40,4500,180000
2440_2018_hybrid,2440,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,39,4500,175500
17729_2016_hybrid,17729,Wiley,2016,hybrid,NATURAL SCIENCES,39,4500,175500
2440_2017_hybrid,2440,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,38,4500,171000
9223_2016_hybrid,9223,Wiley,2016,hybrid,NATURAL SCIENCES,38,4500,171000
556_2015_gold,556,Wiley,2015,gold,NATURAL SCIENCES,38,4500,171000
17729_2017_hybrid,17729,Wiley,2017,hybrid,NATURAL SCIENCES,33,4500,148500
23481_2016_hybrid,23481,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,25.8,4500,116100
9855_2017_hybrid,9855,Wiley,2017,hybrid,NATURAL SCIENCES,25,4500,112500
23481_2017_hybrid,23481,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,22.2,4500,99900
9855_2016_hybrid,9855,Wiley,2016,hybrid,NATURAL SCIENCES,21,4500,94500
1161_2018_hybrid,1161,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,20,4500,90000
4448_2016_hybrid,4448,Wiley,2016,hybrid,NATURAL SCIENCES,18,4500,81000
23481_2016_hybrid,23481,Wiley,2016,hybrid,NATURAL SCIENCES,17.2,4500,77400
11725_2016_hybrid,11725,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,17,4500,76500
4448_2015_hybrid,4448,Wiley,2015,hybrid,NATURAL SCIENCES,17,4500,76500
23481_2015_hybrid,23481,Wiley,2015,hybrid,MEDICAL AND HEALTH SCIENCES,16.8,4500,75600
11725_2017_hybrid,11725,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,16,4500,72000
23481_2017_hybrid,23481,Wiley,2017,hybrid,NATURAL SCIENCES,14.8,4500,66600
13417_2018_hybrid,13417,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,13.5,4500,60750
13417_2018_hybrid,13417,Wiley,2018,hybrid,NATURAL SCIENCES,13.5,4500,60750
4448_2017_hybrid,4448,Wiley,2017,hybrid,NATURAL SCIENCES,12,4500,54000
23481_2015_hybrid,23481,Wiley,2015,hybrid,NATURAL SCIENCES,11.2,4500,50400
11725_2018_hybrid,11725,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,8,4500,36000
20757_2016_hybrid,20757,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,5.333333333,4500,24000
20757_2017_hybrid,20757,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,5.333333333,4500,24000
25434_2015_hybrid,25434,Wiley,2015,hybrid,NATURAL SCIENCES,5,4500,22500
20757_2018_hybrid,20757,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,4.666666667,4500,21000
25434_2016_hybrid,25434,Wiley,2016,hybrid,NATURAL SCIENCES,3,4500,13500
25434_2018_hybrid,25434,Wiley,2018,hybrid,NATURAL SCIENCES,3,4500,13500
20757_2017_hybrid,20757,Wiley,2017,hybrid,NATURAL SCIENCES,2.666666667,4500,12000
20757_2016_hybrid,20757,Wiley,2016,hybrid,NATURAL SCIENCES,2.666666667,4500,12000
20757_2018_hybrid,20757,Wiley,2018,hybrid,NATURAL SCIENCES,2.333333333,4500,10500
1580_2015_hybrid,1580,Wiley,2015,hybrid,NATURAL SCIENCES,2,4500,9000
18670_2015_gold,18670,Springer-Nature,2015,gold,ENGINEERING AND TECHNOLOGY,70,4400,308000
16544_2015_gold,16544,Springer-Nature,2015,gold,NATURAL SCIENCES,69,4400,303600
8205_2015_gold,8205,Springer-Nature,2015,gold,NATURAL SCIENCES,35,4400,154000
8205_2015_gold,8205,Springer-Nature,2015,gold,MEDICAL AND HEALTH SCIENCES,35,4400,154000
